order_id;order_datetime;customer_id;country;city;category;product;unit_price;quantity;discount;payment_method;channel
1;2024-10-20 03:00:00;3283;Denmark;Aarhus;Outdoors;Camping Stove;11952.28;4;0.15;Mastercard;Web
2;2023-02-05 20:00:00;4574;Norway;Oslo;Sports;Yoga Mat;12720.38;4;0.0;Invoice;Web
3;2023-08-13 14:00:00;6158;Norway;Bergen;Electronics;Monitor;6350.71;2;0.0;Visa;Mobile
4;2024-05-13 12:00:00;2940;Sweden;Malmö;Gaming;Console;12500.81;4;0.0;Vipps;Web
5;2024-04-15 04:00:00;7310;Denmark;Copenhagen;Gaming;Console;17420.3;3;0.15;Invoice;Web
6;2023-09-19 01:00:00;8430;Norway;Trondheim;Outdoors;Backpack;19562.47;1;0.15;Mastercard;In-Store
7;2024-12-03 02:00:00;4506;Denmark;Aarhus;Gaming;VR Headset;12312.72;2;0.0;Mastercard;Web
8;2023-07-04 10:00:00;4939;Finland;Turku;Music;Microphone;9000.85;5;0.0;Visa;Web
9;2024-08-23 23:00:00;7436;Sweden;Stockholm;Gaming;GPU;22069.31;5;0.0;Vipps;Web
10;2024-04-18 11:00:00;4067;Denmark;Odense;Gaming;Console;13929.29;1;0.0;PayPal;Partner
11;2024-10-29 15:00:00;5097;Denmark;Odense;Office;Notebook;7847.23;4;0.0;Invoice;In-Store
12;2023-12-13 18:00:00;6915;Sweden;Gothenburg;Electronics;Headphones;8268.75;3;0.0;PayPal;Mobile
13;2023-03-12 05:00:00;1053;Sweden;Gothenburg;Sports;Yoga Mat;79.51;3;0.0;Invoice;In-Store
14;2023-02-02 01:00:00;8203;Iceland;Kopavogur;Music;Microphone;10557.36;4;0.05;Invoice;Mobile
15;2023-04-12 09:00:00;2984;Denmark;Aarhus;Electronics;Smartphone;3095.27;1;0.0;Visa;Web
16;2023-08-10 07:00:00;3508;Norway;Stavanger;Outdoors;Backpack;8488.93;2;0.15;Visa;Partner
17;2023-07-30 11:00:00;8003;Denmark;Aarhus;Outdoors;Camping Stove;22604.03;4;0.05;Invoice;Partner
18;2023-09-25 12:00:00;9783;Norway;Oslo;Music;Bass;19566.05;5;0.15;Invoice;Partner
19;2023-09-24 12:00:00;1326;Norway;Tromsø;Gaming;VR Headset;14024.3;1;0.0;PayPal;In-Store
20;2023-12-28 02:00:00;6301;Denmark;Odense;Gaming;GPU;19775.3;5;0.1;Mastercard;Partner
21;2023-04-25 11:00:00;5201;Denmark;Aarhus;Office;Notebook;16562.89;2;0.15;PayPal;Web
22;2023-01-08 21:00:00;6857;Finland;Helsinki;Music;Guitar;21554.7;3;0.0;Invoice;In-Store
23;2023-05-06 05:00:00;3518;Norway;Oslo;Sports;Yoga Mat;9185.6;4;0.0;PayPal;Partner
24;2023-03-21 03:00:00;7635;Finland;Tampere;Music;Microphone;16316.36;4;0.0;Vipps;Mobile
25;2023-02-22 19:00:00;6672;Iceland;Kopavogur;Music;Microphone;20540.47;1;0.1;Mastercard;Partner
26;2024-04-19 18:00:00;5088;Iceland;Kopavogur;Office;Desk Lamp;20717.44;1;0.0;Visa;In-Store
27;2023-05-29 04:00:00;6475;Denmark;Odense;Gaming;Console;19485.16;3;0.0;Mastercard;Partner
28;2023-06-12 02:00:00;2940;Norway;Trondheim;Sports;Football;10834.56;4;0.0;Visa;Web
29;2024-01-04 06:00:00;3419;Norway;Oslo;Office;Notebook;20053.5;4;0.0;Visa;Partner
30;2024-08-27 06:00:00;1757;Denmark;Copenhagen;Office;Notebook;18492.46;3;0.0;Visa;In-Store
31;2024-03-18 19:00:00;8505;Finland;Tampere;Sports;Yoga Mat;24404.52;3;0.05;Vipps;In-Store
32;2024-01-02 08:00:00;4166;Denmark;Odense;Music;Microphone;19899.13;5;0.05;PayPal;Web
33;2024-03-15 19:00:00;1343;Norway;Oslo;Electronics;Laptop;15021.07;4;0.15;Invoice;Mobile
34;2024-03-03 05:00:00;6783;Norway;Trondheim;Office;Desk Lamp;5983.91;5;0.0;PayPal;Mobile
35;2023-12-18 09:00:00;9819;Norway;Bergen;Sports;Running Shoes;10074.79;5;0.15;Invoice;Partner
36;2024-03-02 09:00:00;9994;Denmark;Copenhagen;Gaming;GPU;15831.55;2;0.0;Vipps;In-Store
37;2024-04-04 00:00:00;5309;Denmark;Copenhagen;Electronics;Monitor;11180.0;1;0.0;Invoice;Partner
38;2023-04-19 20:00:00;6698;Norway;Tromsø;Office;Notebook;7471.28;4;0.0;Mastercard;Partner
39;2024-10-19 19:00:00;9654;Finland;Tampere;Music;Microphone;7862.37;5;0.05;Mastercard;Mobile
40;2024-12-15 23:00:00;7018;Iceland;Reykjavik;Sports;Football;10302.26;1;0.0;Vipps;In-Store
41;2024-05-23 14:00:00;4539;Denmark;Odense;Gaming;Console;23600.8;1;0.1;PayPal;In-Store
42;2023-12-09 18:00:00;5553;Denmark;Odense;Music;Drum Kit;12665.79;5;0.0;Vipps;In-Store
43;2024-08-28 21:00:00;6528;Denmark;Copenhagen;Electronics;Smartphone;6032.22;1;0.05;Invoice;Mobile
44;2023-05-12 08:00:00;2674;Denmark;Odense;Office;Desk Lamp;21608.61;4;0.0;Invoice;Partner
45;2023-03-08 01:00:00;3773;Norway;Bergen;Gaming;Gaming Chair;21753.21;1;0.15;Mastercard;Partner
46;2023-06-14 07:00:00;6514;Sweden;Gothenburg;Gaming;Console;10397.95;2;0.0;PayPal;Mobile
47;2023-02-12 13:00:00;2828;Sweden;Gothenburg;Sports;Football;22586.39;2;0.05;PayPal;Web
48;2024-04-30 13:00:00;8014;Sweden;Gothenburg;Sports;Yoga Mat;7469.15;4;0.0;Mastercard;Mobile
49;2024-03-26 05:00:00;5644;Norway;Tromsø;Outdoors;Camping Stove;23110.19;5;0.05;Invoice;Mobile
50;2024-07-13 01:00:00;2976;Iceland;Reykjavik;Electronics;Smartphone;3956.89;3;0.0;Visa;Web
51;2023-11-29 21:00:00;2660;Norway;Trondheim;Outdoors;Camping Stove;21517.97;2;0.0;Vipps;In-Store
52;2024-02-08 20:00:00;2347;Denmark;Copenhagen;Outdoors;Backpack;7516.01;4;0.0;Vipps;In-Store
53;2024-06-25 06:00:00;8825;Norway;Trondheim;Outdoors;Kayak;17964.65;3;0.0;Invoice;Web
54;2023-10-14 09:00:00;3194;Denmark;Aarhus;Sports;Football;24723.68;2;0.0;Invoice;Web
55;2023-08-25 11:00:00;5965;Denmark;Copenhagen;Outdoors;Backpack;24495.23;5;0.0;Visa;In-Store
56;2023-01-07 17:00:00;6293;Norway;Oslo;Electronics;Monitor;9535.14;2;0.0;PayPal;In-Store
57;2023-06-29 01:00:00;7565;Sweden;Malmö;Electronics;Laptop;11949.16;3;0.15;Vipps;Web
58;2023-02-11 11:00:00;2660;Iceland;Reykjavik;Sports;Running Shoes;14002.08;2;0.05;Mastercard;In-Store
59;2024-04-25 14:00:00;9025;Denmark;Odense;Sports;Football;15548.58;4;0.0;Visa;Web
60;2023-11-14 21:00:00;7627;Norway;Stavanger;Office;Whiteboard;11764.84;1;0.0;PayPal;In-Store
61;2023-02-12 08:00:00;3104;Sweden;Gothenburg;Outdoors;Kayak;12421.8;1;0.15;Mastercard;Partner
62;2023-12-22 09:00:00;6045;Norway;Bergen;Gaming;VR Headset;5617.4;2;0.0;PayPal;Mobile
63;2024-12-20 06:00:00;6772;Denmark;Odense;Office;Desk Lamp;21050.13;3;0.05;Mastercard;In-Store
64;2024-01-22 04:00:00;2810;Finland;Helsinki;Electronics;Keyboard;5258.03;1;0.0;Vipps;In-Store
65;2024-05-22 17:00:00;9412;Norway;Bergen;Sports;Football;1165.08;3;0.05;PayPal;In-Store
66;2023-09-21 19:00:00;9523;Sweden;Stockholm;Office;Desk Lamp;20431.68;3;0.0;PayPal;In-Store
67;2023-12-24 03:00:00;4416;Finland;Helsinki;Gaming;GPU;7557.36;1;0.05;Visa;Web
68;2023-10-28 08:00:00;9448;Norway;Bergen;Gaming;GPU;22365.99;2;0.1;Mastercard;Mobile
69;2023-08-08 20:00:00;5783;Iceland;Reykjavik;Office;Notebook;20094.68;5;0.0;Vipps;Web
70;2024-11-16 08:00:00;8283;Sweden;Gothenburg;Electronics;Headphones;13330.6;1;0.05;PayPal;In-Store
71;2024-11-06 16:00:00;9478;Iceland;Kopavogur;Office;Notebook;11008.64;1;0.1;Visa;Partner
72;2023-11-30 14:00:00;1178;Finland;Helsinki;Office;Whiteboard;16040.96;4;0.1;Invoice;Partner
73;2023-04-18 00:00:00;3050;Finland;Tampere;Electronics;Headphones;12091.25;5;0.15;Vipps;Partner
74;2023-03-26 11:00:00;7583;Finland;Helsinki;Office;Desk Lamp;2131.29;5;0.1;Visa;In-Store
75;2023-04-23 07:00:00;9484;Finland;Turku;Gaming;VR Headset;14544.7;5;0.1;Visa;Web
76;2024-10-04 14:00:00;6531;Sweden;Malmö;Office;Whiteboard;13493.54;1;0.05;Mastercard;In-Store
77;2023-08-08 02:00:00;5719;Denmark;Copenhagen;Electronics;Keyboard;2113.48;3;0.0;Vipps;Partner
